,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
132,"Ginseng Strip 2002","Yung Lean",35508,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
133,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",35458,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
134,Classic,MKTO,35402,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
135,"Get Into It (Yuh)","Doja Cat",35144,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
136,"Alien Blues",Vundabar,35071,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
137,"When I R.I.P.",Labrinth,34910,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
138,HUMBLE.,"Kendrick Lamar",34809,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
139,Bussin,"Nicki Minaj",34645,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
140,"Money Trees","Kendrick Lamar",34618,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
141,"West Coast",OneRepublic,34594,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
142,"The Business",Tiësto,34580,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
143,"Say You Won't Let Go","James Arthur",34509,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
144,"you broke me first","Tate McRae",34196,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
145,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",34124,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
146,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",34064,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
147,Freaks,"Surf Curse",33946,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
148,"20 Min","Lil Uzi Vert",33938,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
149,"Hit 'Em Up - Single Version",2Pac,33901,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf
150,"Die For You","The Weeknd",33807,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
151,Ophelia,"The Lumineers",33749,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
152,"Don't Start Now","Dua Lipa",33569,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
153,Stan,Eminem,33520,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
154,"Hrs and Hrs","Muni Long",33245,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
155,"One Dance",Drake,33241,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
156,"Roses - Imanbek Remix","SAINt JHN",33189,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
157,"Ric Flair Drip (with Metro Boomin)",Offset,33153,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
158,Swim,"Chase Atlantic",33072,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
159,"Daddy Issues","The Neighbourhood",33021,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
160,"Rumors (feat. Lil Durk)","Gucci Mane",32957,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
161,"Still Don't Know My Name",Labrinth,32933,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
162,"Another Love","Tom Odell",32843,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
163,"Bohemian Rhapsody - Remastered 2011",Queen,32821,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
164,"Forgot About Dre","Dr. Dre",32717,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
165,"Waiting On A Miracle","Stephanie Beatriz",32699,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
166,Forever,Labrinth,32663,https://open.spotify.com/track/6potEImiklXkwD9qFzpu15
167,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",32585,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
168,"Is There Someone Else?","The Weeknd",32559,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
169,"All of Me","John Legend",32535,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
170,Believer,"Imagine Dragons",32481,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
171,"Gangsta's Paradise",Coolio,32466,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
172,"NEW MAGIC WAND","Tyler, The Creator",32451,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
173,"What You Know Bout Love","Pop Smoke",32017,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
174,"All Girls Are The Same","Juice WRLD",32002,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
175,"Lil Bit (feat. Florida Georgia Line)",Nelly,31976,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
176,"Take Me To Church",Hozier,31870,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
177,Yellow,Coldplay,31796,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
178,Shallow,"Lady Gaga",31728,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
179,"The Night We Met","Lord Huron",31567,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
180,"Smells Like Teen Spirit - Remastered",Nirvana,31547,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
181,"The Hills","The Weeknd",31542,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
182,"Don't Play That","King Von",31352,https://open.spotify.com/track/4QrVQEPfbJ6C8lN1oqIeIH
183,"Come & Go (with Marshmello)","Juice WRLD",31136,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
184,"Space Song","Beach House",31127,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
185,Redbone,"Childish Gambino",31060,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
186,Eazy,"The Game",31039,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
187,"It Was A Good Day","Ice Cube",31032,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
188,Acapulco,"Jason Derulo",30980,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
189,"When I’m Gone (with Katy Perry)",Alesso,30972,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
190,"CTRL + ALT + DEL",Rêve,30940,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9
191,goosebumps,"Travis Scott",30906,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
192,"Mr. Rager","Kid Cudi",30893,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
193,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",30879,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
194,"Girls Want Girls (with Lil Baby)",Drake,30762,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
195,"Man in the Mirror","A Boogie Wit da Hoodie",30698,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
196,"Do We Have A Problem?","Nicki Minaj",30638,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
197,"Counting Stars",OneRepublic,30635,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
198,"XO Tour Llif3","Lil Uzi Vert",30581,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
199,"Dos Oruguitas","Sebastian Yatra",30556,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
200,"lovely (with Khalid)","Billie Eilish",30489,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
