,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
122,"Lucid Dreams","Juice WRLD",34492,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
123,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,34472,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
124,"Martin & Gina","Polo G",34276,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
125,"California Love - Original Version",2Pac,34171,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
126,"Get Into It (Yuh)","Doja Cat",34064,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
127,HANDSOMER,Russ,33836,https://open.spotify.com/track/4v1TTTCadimzZkTuDTnYBc
128,"deja vu","Olivia Rodrigo",33651,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
129,Revenge,XXXTENTACION,33645,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
130,"Waiting On A Miracle","Stephanie Beatriz",33579,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
131,"The Business",Tiësto,33542,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
132,Classic,MKTO,33483,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
133,"Don't Start Now","Dua Lipa",33201,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
134,"Roses - Imanbek Remix","SAINt JHN",32818,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
135,"Praise God","Kanye West",32807,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
136,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",32798,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
137,Believer,"Imagine Dragons",32680,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
138,"3 Nights","Dominic Fike",32365,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
139,Sky,"Playboi Carti",32176,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
140,"One Dance",Drake,32086,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
141,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",32008,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
142,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",31882,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
143,"Tennessee Whiskey","Chris Stapleton",31683,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
144,"Before You Go","Lewis Capaldi",31566,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
145,"Gangsta's Paradise",Coolio,31500,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
146,Freaks,"Surf Curse",31408,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
147,Ophelia,"The Lumineers",31368,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
148,"Hotel California - 2013 Remaster",Eagles,31271,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
149,"Don't Play That","King Von",31187,https://open.spotify.com/track/3IPGG5Niex4hGlXFOYWzp9
150,"Something In The Way - Remastered",Nirvana,31085,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
151,"Lil Bit (feat. Florida Georgia Line)",Nelly,30986,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
152,"Love Sosa","Chief Keef",30983,https://open.spotify.com/track/01Lr5YepbgjXAWR9iOEyH1
